,Datetime,SA DPT,SA Temp,RA DPT,SA %RH,RA Temp,RA Humidity
44,2022-01-04 00:47:51,11.7,14.8,16.0,82.2,23.0,64.7
45,2022-01-04 01:29:26,11.6,14.7,15.7,82.4,22.7,65.5
46,2022-01-04 01:54:32,11.6,14.7,15.8,82.6,22.5,66.2
47,2022-01-04 02:19:20,11.9,14.8,15.7,82.9,22.2,67.1
48,2022-01-04 02:38:43,11.9,14.8,15.8,83.1,22.0,68.3
49,2022-01-04 03:01:55,11.8,14.7,15.5,83.4,21.7,68.3
50,2022-01-04 01:06:49,12.0,14.7,15.3,83.8,21.3,68.8
51,2022-01-04 03:27:28,11.8,14.5,15.0,84.0,21.0,69.0
52,2022-01-04 04:09:33,11.8,14.5,14.8,84.2,20.8,69.6
53,2022-01-04 04:35:58,11.8,14.5,15.1,84.3,20.8,70.3
54,2022-01-04 05:00:22,11.6,14.3,14.8,84.5,20.5,70.5
55,2022-01-04 05:19:05,11.5,14.2,15.0,84.6,20.5,71.0
56,2022-01-04 05:41:51,11.5,14.0,14.9,84.8,20.4,71.0
57,2022-01-04 06:02:37,12.7,15.2,15.3,85.1,20.8,71.4
58,2022-01-04 06:26:07,14.5,17.1,16.2,85.4,22.7,67.3
59,2022-01-04 06:45:48,14.5,17.1,16.2,85.5,23.0,66.3
60,2022-01-04 07:09:02,14.0,16.6,16.0,85.5,22.8,66.2
61,2022-01-04 07:28:41,13.8,16.4,15.9,85.5,22.6,66.2
62,2022-01-04 07:50:57,15.1,17.5,16.4,85.7,22.9,67.1
0,2022-01-05 00:11:17,14.2,16.8,16.7,85.6,22.0,72.0
1,2022-01-05 00:11:17,14.8,17.2,16.9,85.8,21.4,76.4
2,2022-01-05 00:11:17,18.3,20.8,18.0,86.0,22.1,78.1
3,2022-01-05 00:11:17,18.9,21.4,18.1,86.0,22.6,76.1
4,2022-01-05 00:11:17,19.2,21.7,18.0,86.0,22.9,73.8
5,2022-01-05 00:36:25,19.5,22.0,18.0,85.8,23.2,72.7
6,2022-01-05 00:36:25,19.4,22.1,17.9,85.6,23.3,71.8
7,2022-01-05 00:36:25,19.4,22.1,17.5,85.4,23.3,70.4
8,2022-01-05 00:36:25,19.5,22.2,17.1,85.0,23.4,68.6
9,2022-01-05 00:36:25,19.6,22.3,17.1,84.7,23.4,68.2
10,2022-01-05 01:03:37,19.4,22.3,16.9,84.4,23.5,67.3
11,2022-01-05 01:03:37,19.4,22.3,16.9,84.0,23.5,67.1
12,2022-01-05 01:03:37,19.5,22.4,16.7,83.8,23.5,66.5
13,2022-01-05 01:03:37,19.3,22.4,16.7,83.4,23.5,66.3
14,2022-01-05 01:28:16,19.4,22.5,16.7,83.1,23.5,66.0
15,2022-01-05 01:28:16,19.2,22.5,16.5,82.6,23.5,65.5
16,2022-01-05 01:28:16,19.2,22.5,16.5,82.3,23.5,65.4
17,2022-01-05 01:28:16,19.2,22.5,16.5,81.9,23.5,65.0
